COUNTY,FIPS,SEAT,POP2011,SQMI
Adams,1,Ritzville,18728,1925
Asotin,3,Asotin,21623,636
Benton,5,Prosser,175177,1703
Chelan,7,Wenatchee,72453,2922
Clallam,9,Port Angeles,71404,1745
Clark,11,Vancouver,425363,628
Columbia,13,Dayton,4078,869
Cowlitz,15,Kelso,102410,1139
Douglas,17,Waterville,38431,1821
Ferry,19,Republic,7551,2204
Franklin,21,Pasco,78163,1242
Garfield,23,Pomeroy,2266,710
Grant,25,Ephrata,89120,2681
Grays Harbor,27,Montesano,72797,1917
Island,29,Coupeville,78506,209
Jefferson,31,Port Townsend,29872,1809
King,33,Seattle,1931249,2126
Kitsap,35,Port Orchard,251133,396
Kittitas,37,Ellensburg,40915,2297
Klickitat,39,Goldendale,20318,1872
Lewis,41,Chehalis,75455,2408
Lincoln,43,Davenport,10570,2311
Mason,45,Shelton,60699,961
Okanogan,47,Okanogan,41120,5268
Pacific,49,South Bend,20920,975
Pend Oreille,51,Newport,13001,1400
Pierce,53,Tacoma,795225,1676
San Juan,55,Friday Harbor,15769,175
Skagit,57,Mount Vernon,116901,1735
Skamania,59,Stevenson,11066,1656
Snohomish,61,Everett,713335,2090
Spokane,63,Spokane,471221,1764
Stevens,65,Colville,43531,2478
Thurston,67,Olympia,252264,727
Wahkiakum,69,Cathlamet,3978,264
Walla Walla,71,Walla Walla,58781,1270
Whatcom,73,Bellingham,201140,2120
Whitman,75,Colfax,44776,2159
Yakima,77,Yakima,243231,4296
