district_num,mrp_estimate,mrp_se,abb,ssd_fips,ssd_fips_num,raw_mean,raw_se,pres_2008
1,0.133060806,0.133367185,AL,1001,1001,-0.099437018,0.227622606,0.416768134
2,0.547004696,0.125435687,AL,1002,1002,0.541067807,0.18538472,0.300323769
3,0.168019253,0.129275233,AL,1003,1003,0.04568742,0.245387368,0.420159896
4,0.619453959,0.132378743,AL,1004,1004,0.968940772,0.223188878,0.278640642
5,0.35404478,0.121837887,AL,1005,1005,0.366252597,0.18288946,0.26869749
6,0.381496957,0.110093278,AL,1006,1006,0.481186285,0.148876379,0.42108747
7,0.462260117,0.142251673,AL,1007,1007,0.462034148,0.2879866,0.331010027
8,-0.154318323,0.129938191,AL,1008,1008,-0.472592517,0.189077788,0.419048957
9,0.407111256,0.120071331,AL,1009,1009,0.231373691,0.182721953,0.192419187
10,0.249670619,0.118224635,AL,1010,1010,0.145533163,0.182161737,0.372715461
11,0.467697597,0.11984255,AL,1011,1011,0.263330024,0.158276402,0.169638243
12,0.437715244,0.120459297,AL,1012,1012,0.38880861,0.164389395,0.171178089
13,0.422872296,0.133012491,AL,1013,1013,0.508785076,0.169877829,0.251257823
14,0.46150722,0.138377346,AL,1014,1014,0.23739661,0.201761772,0.24629558
15,0.37592847,0.12401702,AL,1015,1015,0.113611043,0.198543818,0.183788919
16,0.385737353,0.133029173,AL,1016,1016,0.220996466,0.151317557,0.228922615
17,0.504962164,0.124319304,AL,1017,1017,0.517664478,0.141730737,0.207805635
18,0.468273959,0.128159836,AL,1018,1018,0.477557087,0.215117974,0.281671716
19,-0.29295928,0.128780826,AL,1019,1019,-0.61661022,0.181143874,0.872380468
20,0.40521813,0.113921245,AL,1020,1020,0.451973819,0.160395008,0.282607183
21,0.242607865,0.125143626,AL,1021,1021,0.460114003,0.202952235,0.462370038
22,0.509798697,0.128125675,AL,1022,1022,0.523144718,0.16837554,0.252842999
23,0.363811544,0.121461572,AL,1023,1023,0.323204658,0.165436267,0.322625148
24,0.444039435,0.121090005,AL,1024,1024,0.486047277,0.206632619,0.232579335
25,0.484070184,0.107421891,AL,1025,1025,0.588071177,0.140632506,0.323144793
26,0.374647628,0.126986629,AL,1026,1026,0.366598555,0.171485348,0.21704031
27,0.375677549,0.118502489,AL,1027,1027,0.168233268,0.154114886,0.21700236
28,0.281331922,0.129460219,AL,1028,1028,0.308502185,0.174012487,0.358237426
29,0.333109525,0.123515349,AL,1029,1029,0.331058275,0.188039386,0.381546531
30,0.501732663,0.126484612,AL,1030,1030,0.451246332,0.267784087,0.174655675
31,0.497434362,0.127614304,AL,1031,1031,0.82020702,0.196659181,0.259946055
32,-0.122237126,0.126576349,AL,1032,1032,-0.105945687,0.188487533,0.463970161
33,0.292651187,0.135717922,AL,1033,1033,0.226319048,0.183204606,0.33977921
34,0.492603167,0.133792561,AL,1034,1034,0.452697476,0.202458576,0.132421838
35,0.433911472,0.128114131,AL,1035,1035,0.56808797,0.219981449,0.268923366
36,0.395547494,0.132474336,AL,1036,1036,0.500860301,0.231703552,0.233579817
37,0.225368438,0.135156009,AL,1037,1037,0.031814994,0.204127058,0.333979149
38,0.321291517,0.13040613,AL,1038,1038,0.495255829,0.22405656,0.350049026
39,0.397386238,0.129621204,AL,1039,1039,0.295008873,0.240942639,0.22799173
40,0.383409485,0.125992761,AL,1040,1040,0.219949586,0.205833323,0.253612615
41,0.521351299,0.127454913,AL,1041,1041,0.581646124,0.207524721,0.209497127
42,0.331242583,0.136614664,AL,1042,1042,0.32024536,0.203865341,0.237985287
43,0.381242051,0.109330558,AL,1043,1043,0.391311307,0.175479553,0.220679445
44,0.380721817,0.120082539,AL,1044,1044,0.208165638,0.173832664,0.30500689
45,0.144760798,0.135690805,AL,1045,1045,-0.005348357,0.195208948,0.452828134
46,0.222410917,0.123815274,AL,1046,1046,0.056205048,0.181191255,0.270701149
47,0.336589363,0.118949978,AL,1047,1047,0.43380898,0.181529573,0.303185925
48,0.463803965,0.112876283,AL,1048,1048,0.571680889,0.167304573,0.233380427
49,0.477377618,0.114634442,AL,1049,1049,0.507281756,0.198312211,0.244344325
50,0.430762632,0.127905735,AL,1050,1050,0.463724818,0.184255254,0.181089443
51,0.488837403,0.128066891,AL,1051,1051,0.588484611,0.220721713,0.174357652
52,-0.272357743,0.125570221,AL,1052,1052,-0.230083519,0.203535962,0.763285024
53,-0.400237531,0.118935589,AL,1053,1053,-0.459044571,0.167642559,0.840948863
54,-0.350465629,0.140912741,AL,1054,1054,-0.381150637,0.264385798,0.780186189
55,-0.197967997,0.1352416,AL,1055,1055,-0.063767533,0.208242917,0.783131061
56,-0.111654438,0.127514179,AL,1056,1056,-0.237670248,0.230686549,0.725037337
57,-0.161909862,0.136393601,AL,1057,1057,0.082996174,0.245765225,0.767646102
58,-0.235718355,0.121887034,AL,1058,1058,-0.268227879,0.176813299,0.820584559
59,-0.203080642,0.133632398,AL,1059,1059,-0.180680323,0.230388372,0.786378138
60,-0.266021711,0.135347206,AL,1060,1060,-0.498987969,0.218634067,0.775331126
61,0.17669021,0.125976147,AL,1061,1061,0.216253596,0.175670765,0.378805019
62,0.218112399,0.128578933,AL,1062,1062,0.189408733,0.200380409,0.29533911
63,0.183128709,0.124403653,AL,1063,1063,0.043758609,0.273902233,0.414189508
64,0.316319751,0.141010789,AL,1064,1064,0.069449006,0.281166115,0.30056107
65,0.287928716,0.132785413,AL,1065,1065,0.270407718,0.314090733,0.353129283
66,0.347933761,0.131549662,AL,1066,1066,0.726750736,0.225774969,0.295354523
67,-0.088661978,0.135605163,AL,1067,1067,-0.299624362,0.172466208,0.668971478
68,-0.158217911,0.137200519,AL,1068,1068,-0.442003352,0.258684015,0.576408433
69,-0.007377833,0.1490529,AL,1069,1069,0.12473335,0.283034561,0.650979925
70,-0.314665068,0.126887791,AL,1070,1070,-0.108910501,0.233353572,0.780412794
71,0.072149862,0.132456784,AL,1071,1071,0.17544619,0.215151243,0.646133045
72,0.029308576,0.144844006,AL,1072,1072,0.046148708,0.295222837,0.625895569
73,0.255731682,0.122049242,AL,1073,1073,0.279121964,0.198499586,0.490757363
74,0.364592296,0.125543541,AL,1074,1074,0.629927375,0.153077201,0.30830405
75,0.415051916,0.116774041,AL,1075,1075,0.474975268,0.159720262,0.332574587
76,-0.103059659,0.120684989,AL,1076,1076,-0.077308862,0.166648291,0.757623841
77,-0.221634155,0.143548194,AL,1077,1077,-0.067318242,0.27103017,0.871546961
78,-0.238560512,0.137899116,AL,1078,1078,-0.307752231,0.331328934,0.84768005
79,0.167772603,0.125663624,AL,1079,1079,0.021779211,0.181287638,0.877867328
80,0.257592038,0.128844954,AL,1080,1080,0.45185931,0.193753481,0.387791563
81,0.202008039,0.13237866,AL,1081,1081,0.182284133,0.189675355,0.319193506
82,-0.105383224,0.13349092,AL,1082,1082,-0.003356157,0.188187518,0.80462956
83,-0.071565905,0.138398257,AL,1083,1083,0.114031777,0.193322179,0.545097476
84,0.14846686,0.131017171,AL,1084,1084,0.378922016,0.209871492,0.570371292
85,0.170925315,0.128101069,AL,1085,1085,0.549481212,0.187825156,0.426901399
86,0.34380921,0.111197164,AL,1086,1086,0.286036393,0.158202658,0.273266747
87,0.32639847,0.13066429,AL,1087,1087,0.191732819,0.152249399,0.175650118
88,0.391067278,0.115974375,AL,1088,1088,0.416605508,0.176711865,0.309072471
89,0.321059177,0.126363521,AL,1089,1089,0.431741716,0.182794823,0.368882889
90,0.343262493,0.12810376,AL,1090,1090,0.467263469,0.190714712,0.38796101
91,0.40964023,0.122580178,AL,1091,1091,0.367017786,0.152253245,0.252192751
92,0.440169279,0.144993879,AL,1092,1092,0.740499611,0.18599943,0.252245217
93,0.455739431,0.12634791,AL,1093,1093,0.522791321,0.200800226,0.239660657
94,0.438179727,0.127451461,AL,1094,1094,0.416648371,0.215206553,0.223674655
95,0.374009842,0.110801005,AL,1095,1095,0.149214381,0.170980546,0.244391408
96,0.320872393,0.122470121,AL,1096,1096,0.367330939,0.164945414,0.282931516
97,-0.35387128,0.1348341,AL,1097,1097,-0.550550731,0.253524323,0.756984586
