fips,stcd,district,pop2010
1,AL,001,47247
1,AL,002,45462
1,AL,003,42348
1,AL,004,51181
1,AL,005,48495
1,AL,006,57674
1,AL,007,40956
1,AL,008,42351
1,AL,009,45371
1,AL,010,50267
1,AL,011,44104
1,AL,012,45798
1,AL,013,39882
1,AL,014,40597
1,AL,015,48965
1,AL,016,40993
1,AL,017,42595
1,AL,018,43784
1,AL,019,42380
1,AL,020,47531
1,AL,021,48999
1,AL,022,48959
1,AL,023,43186
1,AL,024,48127
1,AL,025,64950
1,AL,026,52448
1,AL,027,47288
1,AL,028,40514
1,AL,029,43353
1,AL,030,44979
1,AL,031,46434
1,AL,032,38800
1,AL,033,43809
1,AL,034,50560
1,AL,035,44612
1,AL,036,46065
1,AL,037,43958
1,AL,038,44337
1,AL,039,46905
1,AL,040,49653
1,AL,041,73181
1,AL,042,48338
1,AL,043,56056
1,AL,044,48707
1,AL,045,42890
1,AL,046,50398
1,AL,047,48011
1,AL,048,54047
1,AL,049,52014
1,AL,050,55378
1,AL,051,48552
1,AL,052,43159
1,AL,053,35378
1,AL,054,34905
1,AL,055,35572
1,AL,056,41064
1,AL,057,36199
1,AL,058,37443
1,AL,059,32838
1,AL,060,36704
1,AL,061,41422
1,AL,062,55022
1,AL,063,59073
1,AL,064,40427
1,AL,065,38681
1,AL,066,40491
1,AL,067,37878
1,AL,068,36234
1,AL,069,37572
1,AL,070,39253
1,AL,071,38094
1,AL,072,39414
1,AL,073,48266
1,AL,074,41047
1,AL,075,60140
1,AL,076,44894
1,AL,077,34998
1,AL,078,30880
1,AL,079,52950
1,AL,080,54900
1,AL,081,43803
1,AL,082,43389
1,AL,083,41039
1,AL,084,41317
1,AL,085,42429
1,AL,086,49071
1,AL,087,46299
1,AL,088,56499
1,AL,089,44249
1,AL,090,39991
1,AL,091,49948
1,AL,092,40506
1,AL,093,46741
1,AL,094,59763
1,AL,095,61642
1,AL,096,50198
1,AL,097,35406
1,AL,098,37831
1,AL,099,39791
1,AL,100,55488
1,AL,101,42749
1,AL,102,50860
1,AL,103,40611
1,AL,104,47450
1,AL,105,44279
2,AK,001,14333
2,AK,002,14651
2,AK,003,15433
2,AK,004,15842
2,AK,005,13846
2,AK,006,14235
2,AK,007,20982
2,AK,008,19960
2,AK,009,16149
2,AK,010,16548
2,AK,011,21692
2,AK,012,14811
2,AK,013,23507
2,AK,014,23682
2,AK,015,25974
2,AK,016,21559
2,AK,017,16349
2,AK,018,19255
2,AK,019,17804
2,AK,020,18540
2,AK,021,16303
2,AK,022,16126
2,AK,023,16958
2,AK,024,19355
2,AK,025,16201
2,AK,026,15814
2,AK,027,18047
2,AK,028,18473
2,AK,029,17639
2,AK,030,18664
2,AK,031,17744
2,AK,032,19952
2,AK,033,18493
2,AK,034,18909
2,AK,035,17419
2,AK,036,14570
2,AK,037,15199
2,AK,038,16055
2,AK,039,15642
2,AK,040,17516
4,AZ,001,217022
4,AZ,002,177904
4,AZ,003,216687
4,AZ,004,294239
4,AZ,005,192258
4,AZ,006,219170
4,AZ,007,190272
4,AZ,008,185419
4,AZ,009,178499
4,AZ,010,163683
4,AZ,011,161630
4,AZ,012,378298
4,AZ,013,207107
4,AZ,014,158881
4,AZ,015,155897
4,AZ,016,247146
4,AZ,017,171129
4,AZ,018,165729
4,AZ,019,195221
4,AZ,020,176043
4,AZ,021,274260
4,AZ,022,297687
4,AZ,023,370479
4,AZ,024,207694
4,AZ,025,208220
4,AZ,026,195881
4,AZ,027,199340
4,AZ,028,170527
4,AZ,029,184459
4,AZ,030,231236
5,AR,001,28441
5,AR,002,25839
5,AR,003,25835
5,AR,004,25193
5,AR,005,22892
5,AR,006,25251
5,AR,007,26507
5,AR,008,25029
5,AR,009,24968
5,AR,010,27718
5,AR,011,22712
5,AR,012,22630
5,AR,013,21757
5,AR,014,25762
5,AR,015,29068
5,AR,016,23475
5,AR,017,22270
5,AR,018,27129
5,AR,019,27250
5,AR,020,26358
5,AR,021,27003
5,AR,022,26644
5,AR,023,26178
5,AR,024,29428
5,AR,025,27902
5,AR,026,29708
5,AR,027,29847
5,AR,028,32435
5,AR,029,38057
5,AR,030,29811
5,AR,031,39265
5,AR,032,32912
5,AR,033,27776
5,AR,034,22644
5,AR,035,27404
5,AR,036,22442
5,AR,037,25323
5,AR,038,26701
5,AR,039,24419
5,AR,040,27625
5,AR,041,34599
5,AR,042,32375
5,AR,043,31455
5,AR,044,25697
5,AR,045,32959
5,AR,046,35918
5,AR,047,34367
5,AR,048,41391
5,AR,049,32244
5,AR,050,32318
5,AR,051,23525
5,AR,052,24057
5,AR,053,28946
5,AR,054,21956
5,AR,055,20693
5,AR,056,24583
5,AR,057,24379
5,AR,058,27318
5,AR,059,29163
5,AR,060,28463
5,AR,061,29993
5,AR,062,27262
5,AR,063,30811
5,AR,064,27265
5,AR,065,28566
5,AR,066,31426
5,AR,067,30060
5,AR,068,32119
5,AR,069,31441
5,AR,070,29754
5,AR,071,26638
5,AR,072,28138
5,AR,073,26277
5,AR,074,30962
5,AR,075,32762
5,AR,076,32719
5,AR,077,25787
5,AR,078,31051
5,AR,079,24175
5,AR,080,27905
5,AR,081,30298
5,AR,082,28911
5,AR,083,29916
5,AR,084,25531
5,AR,085,29806
5,AR,086,28614
5,AR,087,30579
5,AR,088,33861
5,AR,089,35559
5,AR,090,29000
5,AR,091,29747
5,AR,092,31768
5,AR,093,32584
5,AR,094,48316
5,AR,095,33192
5,AR,096,27019
5,AR,097,34766
5,AR,098,40678
5,AR,099,47695
5,AR,100,36953
6,CA,001,443842
6,CA,002,469582
6,CA,003,459287
6,CA,004,536793
6,CA,005,498085
6,CA,006,433034
6,CA,007,453345
6,CA,008,472487
6,CA,009,424524
6,CA,010,508384
6,CA,011,445356
6,CA,012,430294
6,CA,013,444835
6,CA,014,445394
6,CA,015,591194
6,CA,016,416812
6,CA,017,510960
6,CA,018,452969
6,CA,019,433645
6,CA,020,445046
6,CA,021,432366
6,CA,022,463391
6,CA,023,433112
6,CA,024,442181
6,CA,025,475252
6,CA,026,498043
6,CA,027,424862
6,CA,028,462750
6,CA,029,510976
6,CA,030,504729
6,CA,031,487018
6,CA,032,547084
6,CA,033,469458
6,CA,034,487193
6,CA,035,451555
6,CA,036,584284
6,CA,037,459802
6,CA,038,505909
6,CA,039,442796
6,CA,040,445711
6,CA,041,446793
6,CA,042,431038
6,CA,043,421848
6,CA,044,432575
6,CA,045,406694
6,CA,046,430224
6,CA,047,430517
6,CA,048,424914
6,CA,049,418796
6,CA,050,422607
6,CA,051,427453
6,CA,052,451939
6,CA,053,438884
6,CA,054,426146
6,CA,055,429934
6,CA,056,425338
6,CA,057,428193
6,CA,058,429216
6,CA,059,481561
6,CA,060,439072
6,CA,061,441000
6,CA,062,488817
6,CA,063,514285
6,CA,064,583532
6,CA,065,611978
6,CA,066,566937
6,CA,067,429075
6,CA,068,431683
6,CA,069,412205
6,CA,070,496195
6,CA,071,543864
6,CA,072,449140
6,CA,073,444315
6,CA,074,492971
6,CA,075,493641
6,CA,076,437975
6,CA,077,444726
6,CA,078,489221
6,CA,079,447439
6,CA,080,546875
8,CO,001,69128
8,CO,002,63544
8,CO,003,68147
8,CO,004,61240
8,CO,005,71316
8,CO,006,74553
8,CO,007,101799
8,CO,008,64099
8,CO,009,65870
8,CO,010,67272
8,CO,011,80189
8,CO,012,69766
8,CO,013,69892
8,CO,014,73107
8,CO,015,96911
8,CO,016,64317
8,CO,017,74982
8,CO,018,66291
8,CO,019,81655
8,CO,020,106032
8,CO,021,66065
8,CO,022,67890
8,CO,023,65864
8,CO,024,64262
8,CO,025,72603
8,CO,026,65053
8,CO,027,66352
8,CO,028,66509
8,CO,029,65730
8,CO,030,82192
8,CO,031,100635
8,CO,032,99519
8,CO,033,94061
8,CO,034,72738
8,CO,035,66496
8,CO,036,78030
8,CO,037,62645
8,CO,038,70089
8,CO,039,104592
8,CO,040,97063
8,CO,041,74088
8,CO,042,69324
8,CO,043,87411
8,CO,044,111170
8,CO,045,110234
8,CO,046,65462
8,CO,047,80602
8,CO,048,112104
8,CO,049,83740
8,CO,050,78392
8,CO,051,80253
8,CO,052,80636
8,CO,053,69496
8,CO,054,86291
8,CO,055,79305
8,CO,056,79238
8,CO,057,78537
8,CO,058,78435
8,CO,059,78431
8,CO,060,72008
8,CO,061,79637
8,CO,062,65723
8,CO,063,69709
8,CO,064,63179
8,CO,065,77293
9,CT,001,20921
9,CT,002,24381
9,CT,003,21649
9,CT,004,21889
9,CT,005,22881
9,CT,006,23865
9,CT,007,21010
9,CT,008,23861
9,CT,009,24167
9,CT,010,22964
9,CT,011,23391
9,CT,012,25523
9,CT,013,24054
9,CT,014,24394
9,CT,015,23380
9,CT,016,23511
9,CT,017,25082
9,CT,018,23028
9,CT,019,23396
9,CT,020,22281
9,CT,021,23211
9,CT,022,23430
9,CT,023,23289
9,CT,024,23696
9,CT,025,25430
9,CT,026,23094
9,CT,027,24404
9,CT,028,23643
9,CT,029,25554
9,CT,030,23809
9,CT,031,25136
9,CT,032,24842
9,CT,033,25889
9,CT,034,21648
9,CT,035,23685
9,CT,036,23652
9,CT,037,23310
9,CT,038,23325
9,CT,039,23526
9,CT,040,22997
9,CT,041,21212
9,CT,042,22948
9,CT,043,23842
9,CT,044,25176
9,CT,045,24378
9,CT,046,25434
9,CT,047,24901
9,CT,048,25194
9,CT,049,25268
9,CT,050,24033
9,CT,051,24985
9,CT,052,24385
9,CT,053,25410
9,CT,054,28848
9,CT,055,24373
9,CT,056,23238
9,CT,057,26764
9,CT,058,22608
9,CT,059,22046
9,CT,060,23028
9,CT,061,24674
9,CT,062,23806
9,CT,063,23733
9,CT,064,23750
9,CT,065,23552
9,CT,066,23493
9,CT,067,23716
9,CT,068,23431
9,CT,069,23274
9,CT,070,22757
9,CT,071,24975
9,CT,072,22174
9,CT,073,23420
9,CT,074,25081
9,CT,075,22291
9,CT,076,24317
9,CT,077,23187
9,CT,078,24163
9,CT,079,23980
9,CT,080,24200
9,CT,081,23347
9,CT,082,22929
9,CT,083,23874
9,CT,084,22324
9,CT,085,23261
9,CT,086,21996
9,CT,087,24093
9,CT,088,24771
9,CT,089,23436
9,CT,090,22544
9,CT,091,23055
9,CT,092,21933
9,CT,093,21453
9,CT,094,22417
9,CT,095,24397
9,CT,096,23404
9,CT,097,24356
9,CT,098,22974
9,CT,099,23926
9,CT,100,23554
9,CT,101,23252
9,CT,102,22444
9,CT,103,22818
9,CT,104,23493
9,CT,105,24797
9,CT,106,24049
9,CT,107,23785
9,CT,108,22451
9,CT,109,25451
9,CT,110,23492
9,CT,111,24638
9,CT,112,22990
9,CT,113,22936
9,CT,114,22623
9,CT,115,22515
9,CT,116,24841
9,CT,117,23367
9,CT,118,22475
9,CT,119,21898
9,CT,120,22449
9,CT,121,22957
9,CT,122,22601
9,CT,123,24985
9,CT,124,23959
9,CT,125,22200
9,CT,126,24578
9,CT,127,24726
9,CT,128,22838
9,CT,129,24361
9,CT,130,23767
9,CT,131,25985
9,CT,132,24317
9,CT,133,24556
9,CT,134,23832
9,CT,135,23691
9,CT,136,24123
9,CT,137,23904
